Date,Open,High,Low,Close,Adj Close,Volume
2019-05-09,183.699997,185.410004,182.089996,184.770004,183.991348,55351700
2019-05-10,184.110001,185.889999,181.029999,185.000000,184.220383,58526400
2019-05-13,180.289993,181.259995,178.059998,178.580002,177.827423,67185800
2019-05-14,179.520004,181.630005,178.860001,180.539993,179.779160,43360600
2019-05-15,179.350006,183.550003,179.309998,183.089996,182.318405,40944500
2019-05-16,183.169998,186.070007,182.949997,184.929993,184.150665,39281200
2019-05-17,183.100006,185.580002,182.880005,183.039993,182.268631,44702300
2019-05-20,180.490005,181.179993,179.339996,179.949997,179.191666,38608300
2019-05-21,181.500000,182.330002,180.919998,181.830002,181.063736,31613800
2019-05-22,180.820007,182.070007,180.750000,181.020004,180.257141,24332600
2019-05-23,178.940002,179.020004,177.139999,178.250000,177.498825,45351300
2019-05-24,179.210007,179.850006,177.940002,178.160004,177.409210,25903300
2019-05-28,178.660004,179.660004,177.470001,177.490005,176.742020,24763800
2019-05-29,176.389999,177.000000,175.089996,176.029999,175.288177,42178800
2019-05-30,176.500000,177.270004,175.770004,176.770004,176.025055,30354800
2019-05-31,174.690002,175.289993,173.869995,173.949997,173.216934,45446200
2019-06-03,173.479996,173.949997,169.270004,170.119995,169.403076,75842300
2019-06-04,172.029999,174.970001,171.369995,174.910004,174.172897,47797800
2019-06-05,176.580002,176.610001,174.380005,176.210007,175.467422,34412700
2019-06-06,176.509995,178.039993,175.729996,177.610001,176.861511,29913200
2019-06-07,178.559998,181.770004,178.330002,181.039993,180.277054,45888300
2019-06-10,182.250000,184.850006,182.210007,183.149994,182.378174,41385300
2019-06-11,185.059998,185.399994,182.779999,183.399994,182.627121,41260300
2019-06-12,182.899994,183.279999,182.000000,182.339996,181.571579,27758100
2019-06-13,183.100006,183.869995,182.740005,183.419998,182.647034,23715800
2019-06-14,182.479996,183.110001,181.940002,182.639999,181.870316,22844100
2019-06-17,183.039993,184.250000,182.839996,183.740005,182.965698,20379500
2019-06-18,185.910004,187.720001,185.429993,186.410004,185.624435,48177300
2019-06-19,186.660004,187.529999,185.570007,187.110001,186.321472,31672900
2019-06-20,189.720001,189.759995,187.160004,188.850006,188.054153,40922000
2019-06-21,188.630005,189.770004,188.169998,188.570007,187.775345,39980400
2019-06-24,188.529999,188.720001,188.059998,188.160004,187.781326,19375200
2019-06-25,188.029999,188.139999,184.649994,184.929993,184.557816,33921100
2019-06-26,186.160004,187.330002,185.490005,185.789993,185.416077,22595700
2019-06-27,186.460007,186.940002,185.990005,186.500000,186.124664,19709200
2019-06-28,186.949997,187.149994,186.070007,186.740005,186.364182,21179200
2019-07-01,190.320007,190.570007,188.380005,189.259995,188.879105,31025600
2019-07-02,189.199997,190.029999,188.660004,190.009995,189.627594,18035800
2019-07-03,190.490005,191.440002,190.289993,191.440002,191.054718,15792100
2019-07-05,190.130005,191.399994,189.389999,191.050003,190.665512,21415600
2019-07-08,189.809998,189.869995,188.929993,189.710007,189.328201,17598800
2019-07-09,188.809998,190.899994,188.649994,190.660004,190.276291,19193500
2019-07-10,191.820007,193.089996,191.470001,192.559998,192.172455,28374500
2019-07-11,192.850006,193.339996,191.809998,192.419998,192.032745,23736100
2019-07-12,192.630005,193.539993,192.449997,193.529999,193.140503,20211900
2019-07-15,193.979996,194.190002,193.440002,194.149994,193.759262,15606100
2019-07-16,193.910004,194.089996,192.559998,193.149994,192.761276,20190900
2019-07-17,193.149994,193.490005,192.179993,192.199997,191.813187,16765100
2019-07-18,191.289993,192.789993,190.690002,192.419998,192.032745,28877000
2019-07-19,193.839996,193.830002,190.809998,191.009995,190.625580,29387900
2019-07-22,191.440002,192.940002,191.440002,192.529999,192.142517,18954900
2019-07-23,193.580002,193.809998,192.289993,193.789993,193.399979,23786700
